°¡Á¤º°,¼ºº°,¿¬·Éº°,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072
ÁßÀ§ Ãß°è(±âº» Ãß°è: Ãâ»êÀ²-ÁßÀ§ / ±â´ë¼ö¸í-ÁßÀ§ / ±¹Á¦¼øÀÌµ¿-ÁßÀ§),ÀüÃ¼,°è,51672569,51712619,51751065,51684564,51609121,51534551,51459877,51384052,51305713,51223269,51135265,51040632,50937726,50824868,50701389,50567057,50417167,50247657,50059218,49851637,49625415,49380766,49117432,48835031,48532231,48208374,47863071,47495914,47106960,46697391,46267614,45818111,45350648,44867534,44371641,43864958,43349217,42827316,42302086,41775305,41248542,40723791,40202384,39685210,39172974,38666431,38165892,37670942,37181774,36698961,36222293
ÁßÀ§ Ãß°è(±âº» Ãß°è: Ãâ»êÀ²-ÁßÀ§ / ±â´ë¼ö¸í-ÁßÀ§ / ±¹Á¦¼øÀÌµ¿-ÁßÀ§),ÀüÃ¼,0 - 4¼¼,1494041,1387730,1296661,1219810,1163069,1132285,1126311,1144645,1182654,1227443,1266869,1300255,1327327,1348334,1364010,1375467,1379606,1373826,1360214,1340453,1315728,1291052,1270421,1252572,1235987,1219048,1200231,1178309,1152490,1122514,1088662,1051699,1012777,973294,934751,898586,866055,838138,815471,798311,786552,779764,777259,778153,781475,786240,791520,796509,800555,803192,804122
ÁßÀ§ Ãß°è(±âº» Ãß°è: Ãâ»êÀ²-ÁßÀ§ / ±â´ë¼ö¸í-ÁßÀ§ / ±¹Á¦¼øÀÌµ¿-ÁßÀ§),ÀüÃ¼,5 - 9¼¼,2142084,2027744,1914933,1766989,1611458,1484748,1381117,1289904,1213921,1157815,1127373,1121485,1139688,1177391,1221784,1260821,1293879,1320685,1341487,1357010,1368354,1372453,1366732,1353262,1333697,1309205,1284771,1264358,1246698,1230287,1213524,1194896,1173197,1147635,1117954,1084432,1047835,1009295,970206,932044,896243,864037,836403,813968,796987,785354,778642,776167,777063,780360,785080
ÁßÀ§ Ãß°è(±âº» Ãß°è: Ãâ»êÀ²-ÁßÀ§ / ±â´ë¼ö¸í-ÁßÀ§ / ±¹Á¦¼øÀÌµ¿-ÁßÀ§),ÀüÃ¼,10 - 14¼¼,2311839,2289761,2273651,2271667,2221724,2136724,2023361,1910507,1763359,1608641,1482645,1379589,1288875,1213327,1157551,1127284,1121415,1139521,1177050,1221236,1260078,1292971,1319644,1340342,1355788,1367077,1371152,1365465,1352080,1332628,1308261,1283952,1263649,1246086,1229766,1213093,1194565,1172981,1147553,1118030,1084683,1048280,1009942,971058,933097,897479,865441,837953,815634,798743,787174
ÁßÀ§ Ãß°è(±âº» Ãß°è: Ãâ»êÀ²-ÁßÀ§ / ±â´ë¼ö¸í-ÁßÀ§ / ±¹Á¦¼øÀÌµ¿-ÁßÀ§),ÀüÃ¼,15 - 19¼¼,2287873,2301077,2272843,2267007,2309228,2323747,2301322,2285032,2283155,2233375,2148742,2035900,1923663,1777168,1623231,1497998,1395564,1305368,1230266,1174849,1144832,1139092,1157207,1194636,1238645,1277291,1310016,1336555,1357147,1372510,1383738,1387782,1382098,1368763,1349393,1325136,1300951,1280766,1263305,1247077,1230489,1212050,1190565,1165252,1135860,1102667,1066432,1028273,989573,951796,916355
ÁßÀ§ Ãß°è(±âº» Ãß°è: Ãâ»êÀ²-ÁßÀ§ / ±â´ë¼ö¸í-ÁßÀ§ / ±¹Á¦¼øÀÌµ¿-ÁßÀ§),ÀüÃ¼,20 - 24¼¼,3105237,2953664,2838789,2660295,2494651,2431280,2426368,2389769,2384126,2426189,2440583,2418364,2402164,2400385,2351103,2267308,2155611,2044680,1899865,1747829,1624276,1523211,1434173,1360058,1305450,1276022,1270569,1288649,1325750,1369285,1407469,1439796,1466007,1486341,1501518,1512613,1516583,1510910,1497682,1478512,1454534,1430652,1410735,1393501,1377474,1361082,1342843,1321585,1296545,1267466,1234634
ÁßÀ§ Ãß°è(±âº» Ãß°è: Ãâ»êÀ²-ÁßÀ§ / ±â´ë¼ö¸í-ÁßÀ§ / ±¹Á¦¼øÀÌµ¿-ÁßÀ§),ÀüÃ¼,25 - 29¼¼,3628784,3594717,3533643,3476469,3392971,3246886,3083875,2951792,2773392,2607482,2543679,2538480,2501988,2496575,2538708,2553294,2531251,2515340,2513810,2464615,2380937,2269322,2158347,2013319,1860835,1736780,1635314,1545960,1471574,1416691,1386961,1381266,1399235,1436385,1480084,1518463,1550974,1577350,1597829,1613126,1624313,1628375,1622795,1609627,1590468,1566447,1542489,1522496,1505202,1489131,1472706
ÁßÀ§ Ãß°è(±âº» Ãß°è: Ãâ»êÀ²-ÁßÀ§ / ±â´ë¼ö¸í-ÁßÀ§ / ±¹Á¦¼øÀÌµ¿-ÁßÀ§),ÀüÃ¼,30 - 34¼¼,3390434,3524540,3615767,3670087,3717056,3685186,3632729,3559267,3502597,3419461,3273431,3110295,2978111,2799624,2633573,2569710,2564652,2528297,2522916,2565215,2580018,2558106,2542198,2540694,2491539,2407731,2295860,2184573,2039223,1886391,1762012,1660280,1570700,1496117,1441096,1411322,1405667,1423735,1461026,1504889,1543428,1576077,1602572,1623149,1638524,1649782,1653890,1648315,1635124,1615925,1591848
ÁßÀ§ Ãß°è(±âº» Ãß°è: Ãâ»êÀ²-ÁßÀ§ / ±â´ë¼ö¸í-ÁßÀ§ / ±¹Á¦¼øÀÌµ¿-ÁßÀ§),ÀüÃ¼,35 - 39¼¼,3482511,3349843,3297256,3305481,3320524,3411604,3519526,3599061,3653968,3701374,3670012,3617976,3544873,3488502,3405705,3260004,3097121,2965160,2786993,2621212,2557503,2552625,2516480,2511196,2553576,2568534,2546779,2530947,2529495,2480455,2396730,2284896,2173619,2028310,1875523,1751168,1649457,1559893,1485320,1430312,1400573,1394974,1413100,1450448,1494370,1532970,1565675,1592222,1612846,1628267,1639566
ÁßÀ§ Ãß°è(±âº» Ãß°è: Ãâ»êÀ²-ÁßÀ§ / ±â´ë¼ö¸í-ÁßÀ§ / ±¹Á¦¼øÀÌµ¿-ÁßÀ§),ÀüÃ¼,40 - 44¼¼,4035019,4066215,4023556,3851246,3679608,3488687,3343046,3282713,3291549,3307141,3398478,3506627,3586480,3641740,3689494,3658642,3607044,3534382,3478407,3396023,3250793,3088360,2956743,2778966,2613456,2549841,2545061,2509083,2503915,2546399,2561524,2539933,2524219,2522913,2474060,2390486,2278797,2167632,2022442,1869705,1745346,1643632,1554074,1479506,1424501,1394764,1389167,1407304,1444685,1488672,1527348
